关系ID,关系类型,计算权重,起始节点ID,起始节点名称,起始节点类型,起始节点社区,终止节点ID,终止节点名称,终止节点类型,终止节点社区,是否跨社区
LR626442,依照,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE676791,本法第十条规定,Law,2,否
LR714264,监管,1.0,LE387882,监督检查部门,RegulatoryAuthority,2,LE757503,其他自然人、法人和非法人组织,AdvantageHolder,2,否
LR603503,依照,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE890407,《中华人民共和国广告法》,Law,2,否
LR212307,处以,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE298026,处一百万元以下的罚款,PunishmentMeasure,2,否
LR137588,依照,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE965687,本法第九条规定,Law,2,否
LR080098,监管,1.0,LE387882,监督检查部门,RegulatoryAuthority,2,LE836394,经营者,AdvantageHolder,2,否
LR557410,处以,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE930086,可以并处吊销营业执照,PunishmentMeasure,2,否
LR386890,处以,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE826911,处十万元以上一百万元以下的罚款,PunishmentMeasure,2,否
LR825533,处以,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE303789,没收违法所得,PunishmentMeasure,2,否
LR331515,依照,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE661713,本法第八条规定,Law,2,否
LR937882,依照,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE498251,本法第七条规定,Law,2,否
LR116761,处以,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE804025,没收违法商品,PunishmentMeasure,2,否
LR747749,处以,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE455927,责令停止违法行为,PunishmentMeasure,2,否
LR566861,依照,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE821442,本法规定,Law,2,否
LR043205,包含监管机构,0.15,LE073988,第十九条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR340808,包含监管机构,0.15,LE639591,第二十一条,Section,2,LE420762,县级以上人民政府监督检查部门,RegulatoryAuthority,2,否
LR865457,包含受害主体,0.15,LE639591,第二十一条,Section,2,LE284372,平台内经营者,DisadvantageHolder,2,否
LR848634,包含违规主体,0.95,LE639591,第二十一条,Section,2,LE964512,平台经营者,AdvantageHolder,2,否
LR101837,包含监管机构,0.15,LE919214,第三十六条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR512445,处以,0.15,LE270957,省级以上人民政府监督检查部门,RegulatoryAuthority,2,LE298026,处一百万元以下的罚款,PunishmentMeasure,2,否
LR132435,依照,0.15,LE270957,省级以上人民政府监督检查部门,RegulatoryAuthority,2,LE198988,本法第十五条规定,Law,2,否
LR760062,监管,1.0,LE270957,省级以上人民政府监督检查部门,RegulatoryAuthority,2,LE836394,经营者,AdvantageHolder,2,否
LR769835,包含监管机构,0.15,LE763063,第十七条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR139635,包含监管机构,0.15,LE461642,第二十七条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR933786,包含违规主体,0.95,LE461642,第二十七条,Section,2,LE836394,经营者,AdvantageHolder,2,否
LR876564,包含监管机构,0.15,LE607714,第三十五条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR331294,包含违规主体,0.95,LE486959,第九条,Section,2,LE836394,经营者,AdvantageHolder,2,否
LR210817,包含,0.2,LE874226,第三章,Chapter,2,LE639591,第二十一条,Section,2,否
LR880371,包含,0.2,LE874226,第三章,Chapter,2,LE571295,第二十条,Section,2,否
LR318781,包含,0.2,LE874226,第三章,Chapter,2,LE073988,第十九条,Section,2,否
LR446242,包含,0.2,LE874226,第三章,Chapter,2,LE810444,第十八条,Section,2,否
LR745384,包含,0.2,LE874226,第三章,Chapter,2,LE763063,第十七条,Section,2,否
LR839942,包含,0.2,LE874226,第三章,Chapter,2,LE011652,第十六条,Section,2,否
LR359881,包含监管机构,0.15,LE704542,第二十四条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR268518,包含违规主体,0.95,LE475622,第十三条,Section,2,LE836394,经营者,AdvantageHolder,2,否
LR827291,包含受害主体,0.15,LE403641,第十四条,Section,2,LE284372,平台内经营者,DisadvantageHolder,2,否
LR492430,包含违规主体,0.95,LE403641,第十四条,Section,2,LE964512,平台经营者,AdvantageHolder,2,否
LR052930,包含监管机构,0.15,LE200593,第五条,Section,2,LE624980,县级以上人民政府履行市场监督管理职责的部门,RegulatoryAuthority,2,否
LR986712,包含监管机构,0.15,LE011652,第十六条,Section,2,LE736535,设区的市级以上人民政府监督检查部门,RegulatoryAuthority,2,否
LR861740,包含监管机构,0.15,LE011652,第十六条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR028575,包含监管机构,0.15,LE937066,第二十二条,Section,2,LE867585,人民法院,RegulatoryAuthority,2,否
LR123047,包含,0.2,LE734353,第五章,Chapter,2,LE602276,第四十一条,Section,2,否
LR419505,包含,0.2,LE734353,第五章,Chapter,2,LE416035,第四十条,Section,2,否
LR954134,包含主体,0.95,LE214624,第六条,Section,6,LE845404,单位,Actor,6,否
LR030189,包含,0.2,LE953469,第七章,Chapter,5,LE026558,第五十三条,Section,5,否
LR546484,包含主体,0.95,LE207376,第四十五条,Section,1,LE400985,行为人,Actor,1,否
LR007225,包含主体,0.95,LE773058,第七条,Section,6,LE319262,其他直接责任人员,Actor,6,否
LR147751,包含主体,0.95,LE773058,第七条,Section,6,LE308392,直接负责的主管人员,Actor,6,否
LR178380,包含主体,0.95,LE773058,第七条,Section,6,LE845404,单位,Actor,6,否
LR759187,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE073356,其他市场参与人,Actor,5,否
LR294384,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE342202,上市公司控股股东,Actor,5,否
LR972853,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE424259,上市公司,Actor,5,否
LR761122,依照,0.15,LE074201,中国证监会,RegulatoryAuthority,5,LE379370,《证券法》,Law,5,否
LR032537,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE400985,行为人,Actor,1,是
LR228960,包含,0.2,LE095952,第九章,Chapter,5,LE565386,第五十八条,Section,5,否
LR979981,包含,0.2,LE095952,第九章,Chapter,5,LE238315,第五十七条,Section,5,否
LR827876,包含,0.2,LE095952,第九章,Chapter,5,LE413748,第五十六条,Section,5,否
LR452446,包含,0.2,LE095952,第九章,Chapter,5,LE138783,第五十五条,Section,1,是
LR805293,包含监管机构,0.15,LE138783,第五十五条,Section,1,LE074201,中国证监会,RegulatoryAuthority,5,是
LR930777,包含主体,0.95,LE138783,第五十五条,Section,1,LE400985,行为人,Actor,1,否
LR463052,包含主体,0.95,LE706853,第三十六条,Section,9,LE560089,其工作人员,Actor,9,否
LR422835,包含主体,0.95,LE706853,第三十六条,Section,9,LE615372,专业中介机构,Actor,9,否
LR543600,包含主体,0.95,LE706853,第三十六条,Section,9,LE990638,证券咨询机构,Actor,9,否
LR741840,包含主体,0.95,LE706853,第三十六条,Section,9,LE584877,证券公司,Actor,9,否
LR926161,包含主体,0.95,LE063646,第四十一条,Section,1,LE400985,行为人,Actor,1,否
LR926239,做出,1.0,LE990638,证券咨询机构,Actor,9,LE252922,对该证券或其发行人、上市公司公开做出评价、预测或者投资建议,Means,9,否
LR133626,做出,1.0,LE990638,证券咨询机构,Actor,9,LE497757,买卖或者持有相关证券,Means,9,否
LR704126,做出,1.0,LE990638,证券咨询机构,Actor,9,LE446536,抢帽子交易操纵,Means,9,否
LR068941,做出,1.0,LE073356,其他市场参与人,Actor,5,LE944958,其他市场操作,Means,5,否
LR037138,做出,1.0,LE073356,其他市场参与人,Actor,5,LE362174,回购股份,Means,5,否
LR177191,旨在导致,0.15,LE693755,事先约定的时间、价格和方式相互进行证券交易,Means,1,LE850611,影响证券交易价格或者证券交易量,Influence,1,否
LR506476,旨在导致,0.15,LE352249,散布不真实、不准确、不完整或不确定的重大信息,Means,1,LE099951,能够对证券市场上一般投资者的投资决策产生影响,Influence,1,否
LR146801,包含监管机构,0.15,LE294184,第十九条,Section,1,LE904779,证券交易所,RegulatoryAuthority,3,是
LR753931,包含监管机构,0.15,LE294184,第十九条,Section,1,LE074201,中国证监会,RegulatoryAuthority,5,是
LR205667,包含主体,0.95,LE294184,第十九条,Section,1,LE400985,行为人,Actor,1,否
LR686355,包含监管机构,0.15,LE840683,第四条,Section,5,LE904779,证券交易所,RegulatoryAuthority,3,是
LR720894,包含监管机构,0.15,LE840683,第四条,Section,5,LE742687,中国证券监督管理委员会,RegulatoryAuthority,5,否
LR145599,包含主体,0.95,LE305887,第十一条,Section,9,LE584877,证券公司,Actor,9,否
LR918536,包含,0.2,LE967512,证券市场操纵行为认定指引,Title,5,LE095952,第九章,Chapter,5,否
LR797002,包含,0.2,LE967512,证券市场操纵行为认定指引,Title,5,LE823345,第八章,Chapter,5,否
LR007565,包含,0.2,LE967512,证券市场操纵行为认定指引,Title,5,LE953469,第七章,Chapter,5,否
LR470562,包含,0.2,LE967512,证券市场操纵行为认定指引,Title,5,LE841936,第六章,Chapter,5,否
LR352853,包含,0.2,LE967512,证券市场操纵行为认定指引,Title,5,LE241640,第五章,Chapter,5,否
LR686067,包含,0.2,LE967512,证券市场操纵行为认定指引,Title,5,LE383719,第四章,Chapter,5,否
LR800446,包含,0.2,LE967512,证券市场操纵行为认定指引,Title,5,LE422805,第三章,Chapter,1,是
LR377177,包含,0.2,LE967512,证券市场操纵行为认定指引,Title,5,LE549841,第二章,Chapter,6,是
LR195771,包含,0.2,LE967512,证券市场操纵行为认定指引,Title,5,LE982273,第一章,Chapter,5,否
LR172870,包含主体,0.95,LE560397,第十八条,Section,1,LE921159,证券执法人员,Actor,1,否
LR820750,包含主体,0.95,LE560397,第十八条,Section,1,LE400985,行为人,Actor,1,否
LR434532,包含主体,0.95,LE578096,第二十条,Section,1,LE400985,行为人,Actor,1,否
LR157250,包含主体,0.95,LE355191,第八条,Section,6,LE776661,利用人,Actor,6,否
LR824319,包含主体,0.95,LE676858,第四十条,Section,1,LE400985,行为人,Actor,1,否
LR859743,包含主体,0.95,LE464629,第四十九条,Section,1,LE400985,行为人,Actor,1,否
LR472035,旨在导致,0.15,LE442637,打压,Means,1,LE703500,操纵证券收市价格,Influence,1,否
LR918990,包含主体,0.95,LE789135,第二条,Section,1,LE400985,行为人,Actor,1,否
LR428350,做出,1.0,LE342202,上市公司控股股东,Actor,5,LE944958,其他市场操作,Means,5,否
LR253645,做出,1.0,LE342202,上市公司控股股东,Actor,5,LE362174,回购股份,Means,5,否
LR471972,旨在导致,0.15,LE362813,锁定证券交易价格,Means,1,LE287356,影响证券收市价格,Influence,1,否
LR042388,旨在导致,0.15,LE362813,锁定证券交易价格,Means,1,LE628964,影响特定时间的价格或价值,Influence,1,否
LR906871,包含主体,0.95,LE537454,第二十二条,Section,1,LE512505,2个以上行为人,Actor,1,否
LR524097,包含主体,0.95,LE537454,第二十二条,Section,1,LE191342,单一的行为人,Actor,1,否
LR098573,旨在导致,0.15,LE309592,通过拉抬、打压或锁定手段,Means,1,LE366563,影响相关证券的参考价格或者结算价格或者参考价值,Influence,1,否
LR900180,旨在导致,0.15,LE304864,洗售操纵,Means,1,LE850611,影响证券交易价格或者证券交易量,Influence,1,否
LR549223,做出,1.0,LE584877,证券公司,Actor,9,LE252922,对该证券或其发行人、上市公司公开做出评价、预测或者投资建议,Means,9,否
LR877320,做出,1.0,LE584877,证券公司,Actor,9,LE497757,买卖或者持有相关证券,Means,9,否
LR275114,做出,1.0,LE584877,证券公司,Actor,9,LE446536,抢帽子交易操纵,Means,9,否
LR459232,旨在导致,0.15,LE446536,抢帽子交易操纵,Means,9,LE572961,通过期待的市场波动取得经济利益,Influence,9,否
LR116860,包含主体,0.95,LE197238,第三十七条,Section,9,LE560089,其工作人员,Actor,9,否
LR830235,包含主体,0.95,LE197238,第三十七条,Section,9,LE615372,专业中介机构,Actor,9,否
LR629044,包含主体,0.95,LE197238,第三十七条,Section,9,LE990638,证券咨询机构,Actor,9,否
LR724810,包含主体,0.95,LE197238,第三十七条,Section,9,LE584877,证券公司,Actor,9,否
LR891836,包含主体,0.95,LE197238,第三十七条,Section,9,LE400985,行为人,Actor,1,是
LR652800,包含主体,0.95,LE957760,第二十九条,Section,1,LE400985,行为人,Actor,1,否
LR941983,旨在导致,0.15,LE497757,买卖或者持有相关证券,Means,9,LE572961,通过期待的市场波动取得经济利益,Influence,9,否
LR041583,包含主体,0.95,LE164798,第十条,Section,6,LE051929,个人,Actor,6,否
LR061212,旨在导致,0.15,LE531933,以低于市价的价格发出卖出申报,Means,1,LE331623,致使证券交易价格形成虚拟的价格水平,Influence,1,否
LR806224,旨在导致,0.15,LE531933,以低于市价的价格发出卖出申报,Means,1,LE232971,致使证券交易价格下跌,Influence,1,否
LR502118,旨在导致,0.15,LE531933,以低于市价的价格发出卖出申报,Means,1,LE882651,致使证券交易价格上涨,Influence,1,否
LR568797,控制,0.6,LE776661,利用人,Actor,6,LE050288,利用他人账户,Account,6,否
LR354953,旨在导致,0.15,LE252922,对该证券或其发行人、上市公司公开做出评价、预测或者投资建议,Means,9,LE572961,通过期待的市场波动取得经济利益,Influence,9,否
LR132870,旨在导致,0.15,LE273397,诱导投资者在不了解事实真相的情况下做出投资决定,Means,1,LE691670,影响证券交易价格或交易量,Influence,1,否
LR957991,旨在导致,0.15,LE216398,利用不真实、不准确、不完整或不确定的重大信息的行为,Means,1,LE691670,影响证券交易价格或交易量,Influence,1,否
LR628909,包含,0.2,LE982273,第一章,Chapter,5,LE840683,第四条,Section,5,否
LR287388,包含,0.2,LE982273,第一章,Chapter,5,LE170538,第三条,Section,5,否
LR158690,包含,0.2,LE982273,第一章,Chapter,5,LE789135,第二条,Section,1,是
LR795519,包含,0.2,LE982273,第一章,Chapter,5,LE516681,第一条,Section,5,否
LR843402,做出,1.0,LE424259,上市公司,Actor,5,LE944958,其他市场操作,Means,5,否
LR250921,做出,1.0,LE424259,上市公司,Actor,5,LE362174,回购股份,Means,5,否
LR798305,包含主体,0.95,LE560471,第二十一条,Section,1,LE400985,行为人,Actor,1,否
LR978893,包含,0.2,LE841936,第六章,Chapter,5,LE919426,第五十二条,Section,5,否
LR931311,包含主体,0.95,LE905579,第二十八条,Section,1,LE400985,行为人,Actor,1,否
LR979619,包含主体,0.95,LE918199,第五条,Section,6,LE616526,社会团体,Actor,6,否
LR697251,包含主体,0.95,LE918199,第五条,Section,6,LE807126,机关,Actor,6,否
LR361799,包含主体,0.95,LE918199,第五条,Section,6,LE295735,事业单位,Actor,6,否
LR399069,包含主体,0.95,LE918199,第五条,Section,6,LE992645,企业,Actor,6,否
LR925917,包含主体,0.95,LE918199,第五条,Section,6,LE349998,公司,Actor,6,否
LR291807,包含主体,0.95,LE918199,第五条,Section,6,LE093957,非法人组织,Actor,6,否
LR684220,包含主体,0.95,LE918199,第五条,Section,6,LE780181,法人,Actor,6,否
LR210379,包含主体,0.95,LE918199,第五条,Section,6,LE845404,单位,Actor,6,否
LR843514,包含主体,0.95,LE918199,第五条,Section,6,LE965738,自然人,Actor,6,否
LR866108,包含主体,0.95,LE918199,第五条,Section,6,LE759048,任何人,Actor,6,否
LR239013,做出,1.0,LE051929,个人,Actor,6,LE114217,盗用单位名义操纵证券市场,Means,6,否
LR758056,包含,0.2,LE549841,第二章,Chapter,6,LE910115,第十二条,Section,6,否
LR409181,包含,0.2,LE549841,第二章,Chapter,6,LE305887,第十一条,Section,9,是
LR121677,包含,0.2,LE549841,第二章,Chapter,6,LE164798,第十条,Section,6,否
LR222058,包含,0.2,LE549841,第二章,Chapter,6,LE926868,第九条,Section,6,否
LR134266,包含,0.2,LE549841,第二章,Chapter,6,LE355191,第八条,Section,6,否
LR101208,包含,0.2,LE549841,第二章,Chapter,6,LE773058,第七条,Section,6,否
LR334605,包含,0.2,LE549841,第二章,Chapter,6,LE214624,第六条,Section,6,否
LR183424,包含,0.2,LE549841,第二章,Chapter,6,LE918199,第五条,Section,6,否
LR220760,旨在导致,0.15,LE757188,不正当手段,Means,1,LE850611,影响证券交易价格或者证券交易量,Influence,1,否
